genes	logFC	logCPM	LR	PValue	FDR
TRINITY_DN3000_c0_g2	2.6544153631796	3.37692243022853	19.1852232903905	1.18628134197952e-05	0.0127598480665221
TRINITY_DN209443_c0_g1	3.10717656418872	0.222328109472112	19.168635872223	1.19663475069112e-05	0.0127598480665221
TRINITY_DN57457_c0_g2	2.96459601529015	0.739765703331473	19.1373940456396	1.21638208451117e-05	0.0127598480665221
TRINITY_DN17316_c1_g1	-3.9011903722253	1.03570272795479	19.0745204899686	1.25712083290005e-05	0.0129066188661189
TRINITY_DN755_c2_g1	-6.66433794705483	2.27684014884111	18.8570431397755	1.40889917921574e-05	0.0141635460403909
TRINITY_DN3757_c0_g1	2.16949788073414	2.85679939695255	18.5322497677568	1.67053665681638e-05	0.0164510358853097
TRINITY_DN14821_c0_g1	-4.31813268212371	0.201497782445354	18.4308180317327	1.76185390400774e-05	0.0170032996567979
TRINITY_DN141741_c0_g1	4.2113352978466	0.203363712135405	18.3401363068852	1.84773119204762e-05	0.0174824354786403
TRINITY_DN48457_c0_g1	2.69037578700995	0.963926234632824	18.2459921849664	1.94133994372398e-05	0.0180148880085494
TRINITY_DN47345_c1_g1	-3.79304637244861	0.936129157351631	18.1192466004418	2.074934994794e-05	0.0188179282254397
TRINITY_DN48552_c0_g2	2.54479630617257	3.22144922305254	17.9871370380866	2.22402720503589e-05	0.0188179282254397
TRINITY_DN24506_c1_g1	2.35390424352531	1.72671088401551	17.9769373080795	2.23597616386312e-05	0.0188179282254397
TRINITY_DN35626_c1_g1	-2.53778576341939	1.73425256176416	17.9704529428486	2.24360609741587e-05	0.0188179282254397
TRINITY_DN585_c0_g2	3.54543810013088	2.98514251645106	17.9400537698157	2.27972603778393e-05	0.0188179282254397
TRINITY_DN65143_c0_g3	3.20455301555752	1.58055027053715	17.9379850130013	2.28220523806974e-05	0.0188179282254397
TRINITY_DN52802_c1_g1	3.88383012154457	0.592690013329451	17.9108130783862	2.31502068096851e-05	0.0188179282254397
TRINITY_DN34_c2_g1	-6.24041539896409	2.62611064464035	17.8905022456385	2.33985927286108e-05	0.0188179282254397
TRINITY_DN16225_c0_g3	2.62207442855075	1.92179789481038	17.8003644086923	2.45336251290937e-05	0.0194073040488407
TRINITY_DN78882_c1_g1	3.41775106374268	0.550968015335604	17.6516447926152	2.65285759639638e-05	0.0203887591637558
TRINITY_DN2174_c1_g1	-3.00142957510225	2.10849301954084	17.6400689358696	2.66905305990416e-05	0.0203887591637558
