genes	logFC	logCPM	LR	PValue
TRINITY_DN47213_c0_g1	0.103148263042855	2.35622966986759	0.106788082785583	0.743830914445478
TRINITY_DN27662_c0_g2	1.3097011146878	0.891815761948185	1.26215514477442	0.261243545002957
TRINITY_DN84250_c0_g1	-0.0939323183779613	0.168640175384549	0.108274100937583	0.742117667917861
TRINITY_DN34886_c0_g1	0.149760642374473	1.78039268241488	0.282952059387627	0.594772828300937
TRINITY_DN2503_c0_g1	7.09566784136658e-05	4.87956180975352	6.89086654404036e-08	0.999790551634289
TRINITY_DN18456_c0_g1	-0.0301729095123199	7.29559581818864	0.0277742874083557	0.867640574543956
TRINITY_DN7524_c0_g1	0.0724499367049391	5.26048420225902	0.21777228115705	0.640742595977379
TRINITY_DN5015_c0_g1	0.641298516386736	5.72189022896314	2.98642481315821	0.0839653600305958
TRINITY_DN50_c3_g1	-0.151643705978454	7.39317208341185	0.446234523196743	0.504128564652864
TRINITY_DN1242_c0_g1	-0.155636592657882	5.76286793481722	0.512245112361605	0.474168575938256
TRINITY_DN8506_c0_g1	0.201259497446219	4.38256243487832	0.706914326571676	0.400470087799646
TRINITY_DN8506_c0_g2	-0.234663969258642	4.33917412372472	0.704005378032253	0.401441093254713
TRINITY_DN56123_c1_g1	0.113046157392365	2.29136340838966	0.101465800733045	0.75007765649844
TRINITY_DN55419_c0_g1	-0.052566974014416	1.91202793466618	0.0278559631576165	0.867447900672298
TRINITY_DN26680_c0_g1	-0.107391446955118	2.68670953917749	0.0772491322411213	0.781060504737792
TRINITY_DN2224_c0_g3	-0.423696833449641	4.77227364671908	2.19339581990254	0.13860344096347
TRINITY_DN296216_c0_g1	0.0615861921740493	0.335606306149701	0.031884613963193	0.858281137268655
TRINITY_DN207659_c0_g1	0.337346341266937	0.375500622406073	0.546643238249848	0.459692518173477
TRINITY_DN38081_c0_g1	-0.0453476064372024	4.39697696533583	0.0550070222826564	0.814569075488244
TRINITY_DN29384_c0_g1	0.0992185484653522	3.19196242590788	0.0265051567516963	0.870672724079575
TRINITY_DN38081_c0_g2	-0.225051686811801	4.37480588921471	1.22592910320793	0.268200193816954
TRINITY_DN42000_c0_g1	0.0844983794343081	4.9553517825917	0.0569623397291537	0.811363153056182
TRINITY_DN16390_c2_g1	-0.0692201523508503	1.88932016248007	0.0235499208717052	0.878035662326107
TRINITY_DN5649_c1_g2	0.561911363245474	1.19643238567076	0.664786877579488	0.414875064757329
TRINITY_DN46566_c0_g1	0.0322287460099995	3.88967630834364	0.0315074178914649	0.859113081375416
TRINITY_DN83636_c1_g1	0.798428183001977	0.462594361395102	6.74102955483232	0.00942202338527636
TRINITY_DN478_c0_g1	-0.0272203912057523	4.53844948661466	0.011012382497853	0.916423498551836
TRINITY_DN156994_c0_g1	-0.980611101460022	4.37074545136594	7.5134762871773	0.00612390668494923
TRINITY_DN24698_c0_g1	0.316034857060226	0.462375588593102	0.802463462655799	0.37035785382991
TRINITY_DN13226_c1_g1	-0.816075547610605	0.944348723452368	7.17688108471662	0.00738489760816416
TRINITY_DN5928_c1_g1	0.176443194209232	3.62737458985213	0.285860904121353	0.592885252045246
TRINITY_DN1577_c0_g2	-0.362913115637158	1.22207076568109	0.90195573806016	0.342257846667585
TRINITY_DN112218_c1_g1	0.353836898181744	2.45742342343826	1.29317101594951	0.255464394201153
