genes	logFC	logCPM	LR	PValue	FDR
TRINITY_DN45866_c0_g1	5.00938379890587	2.0495994878327	17.4615615815252	2.93175809385144e-05	0.0168415541738937
TRINITY_DN110707_c0_g1	4.14958798950151	0.367799575076711	17.3917011909923	3.04151055259531e-05	0.0171007715037634
TRINITY_DN310098_c0_g1	4.36644292934067	4.37713798784292	17.3829869623402	3.05548739233508e-05	0.0171007715037634
TRINITY_DN8187_c0_g1	5.53462821010236	3.88741345922919	17.3658269093607	3.08319957066236e-05	0.0171007715037634
TRINITY_DN3301_c0_g3	1.96063389894371	1.54298296855521	17.3379011539984	3.12883861027244e-05	0.0171567020795553
TRINITY_DN66810_c0_g1	3.77288888835993	3.46032284392028	17.2736538491917	3.23643274637277e-05	0.0175472837914013
TRINITY_DN7756_c0_g1	5.67104923604653	5.92575446987627	17.1567913545903	3.44176652057353e-05	0.0183640881790441
TRINITY_DN23559_c0_g2	1.47166641240776	3.47179617420189	17.1449997257852	3.46319895613423e-05	0.0183640881790441
TRINITY_DN26340_c0_g1	-5.2097452891104	1.0420248184159	17.1165114701323	3.51553434897983e-05	0.0184389776603992
TRINITY_DN29343_c0_g1	-2.00381192070547	2.51069357330568	17.0578371106116	3.62584262651745e-05	0.0188130548494595
TRINITY_DN120347_c0_g1	2.21375677001706	0.432298106729087	16.8959632122912	3.94854666147184e-05	0.0199413001616192
TRINITY_DN212335_c0_g1	3.19624140630277	1.17399697085291	16.8777060632669	3.98670953370904e-05	0.0199413001616192
TRINITY_DN78651_c0_g1	2.78215671730577	1.69005118355275	16.8718676071882	3.99899172074811e-05	0.0199413001616192
TRINITY_DN6150_c0_g1	3.00595234479113	0.648028356034354	16.8486219135497	4.04827138803057e-05	0.0199413001616192
TRINITY_DN2707_c0_g1	-4.82636564625396	3.10345582028349	16.8478501261144	4.04991796708807e-05	0.0199413001616192
TRINITY_DN16477_c0_g1	2.34949272568719	0.300344287370178	16.7972338788204	4.15938887192814e-05	0.0202734495581839
TRINITY_DN48957_c0_g1	2.39306274389497	3.30971335773323	16.7721691983435	4.2146942045419e-05	0.0203099933004343
TRINITY_DN9199_c0_g3	-2.3694822184124	0.704034895765737	16.7558649483274	4.2510658667548e-05	0.0203099933004343
TRINITY_DN65048_c0_g1	3.50470961454978	1.37603302233222	16.7256023188389	4.31941453325521e-05	0.0204342185184017
TRINITY_DN36228_c0_g1	4.33544936469958	4.50040566927545	16.7038488110898	4.36922672115739e-05	0.0204691908934688
TRINITY_DN14747_c1_g1	-4.97599692282889	3.21950168416821	16.6664738167278	4.45616206927897e-05	0.0206757350472103
TRINITY_DN2338_c2_g1	4.34627951716212	2.45503235737014	16.6158552041373	4.57668192316637e-05	0.0210326866209972
TRINITY_DN89531_c0_g1	5.30501909203541	2.67850542593173	16.5220014780156	4.80888201871168e-05	0.0218913012198975
TRINITY_DN28430_c0_g1	1.4266475154977	2.86069374650697	16.4686013996647	4.94624738300529e-05	0.0222090544023924
